building,street,landmark,locality,vtc,district,state
VEERASAMI STREET,SEVEN WELLS,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
MUTTHIYALPET,MANNADY,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
ANAIKKARA STREET,SEVEN WELLS CITY,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
PALAIYAPPAN STREET,SEVENWELL,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
PERIYANNA STREET,SEVENWELLS,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
PARAMANANDAM STREET,SEVEN WELLS,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
VARADIER STREET,SEVEN WELLS,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
ACHARAPPAN STREET,-,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
THATHA MUTHIAPPAN STREET,,NULL,"maha ganapathi nagar , rajaji nagar",,Chennai,Tamil Nadu
SULTHAN STREET,mannady,,NULL,,Chennai,Tamil Nadu
PORTUGUESE STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
VARADIAR STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
MANNADY STREET 4th FLOOR,MANNADY,,NULL,,Chennai,Tamil Nadu
CHINNA THAMBi STREET,KOTHAVAL SAVADI,,NULL,,Chennai,Tamil Nadu
Perumal Mudali Street,Seven Wells,,NULL,,Chennai,Tamil Nadu
PALAIYAPPAN STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
VARADIER STREET,SEVEN WELLS,,NULL,,Chennai,Tamil Nadu
PARAMANANDAM STREET,SEVEN WELLS,,NULL,,Chennai,Tamil Nadu
PORTUGUESE CHURCH STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
NAINIYAPPAN GARDEN 1ST LANE,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
,,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
ACHARAPPAN STREET,BROADWAY,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
NAGAMANI GARDEN STREET,SEVENWELLS,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
ACHARAPPAN STREET,BROADWAY,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
MUTHUMARI CHETTY STREET,MANNADY,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
VENKATA MESTHRI STREET,MANNADY,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
seven wells street,,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
,,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
IYYAPPACHETTY STREET,MANNADY,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
"MINT STREET,3rd FLOOR",SOWCARPET,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
ACHARAYAPPAN STREET,-,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
PAVALAKARA STREET,MANNADy,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
ARANGAMAIKARA STREET,MANNADI,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
APPASAMY STREET,SEVENWELLS,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
SUBBU PILLAI STREET,MANNADY,NULL,MACKAN ROAD CROSS,,Chennai,Tamil Nadu
MUNIYAPPA STREET,KONDITHOPPU,,NULL,,Chennai,Tamil Nadu
KANDAPPA STREET,KOTHAVAL BAZAR NEAR,,NULL,,Chennai,Tamil Nadu
NAINIYAPPAN GARDEN 1ST LANE,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
SRINIVASAN STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
MUTHUMARI STREET,,,NULL,,Chennai,Tamil Nadu
,,,NULL,,Chennai,Tamil Nadu
BASHYAKARALU STREET,KONDITHOPPU,,NULL,,Chennai,Tamil Nadu
PANNAIKARA ANDIYAPPAN STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
SUBRAMNIYAN STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
PIDARIYAR KOVIL STREET,BROADWAY,,NULL,,Chennai,Tamil Nadu
,,,NULL,,Chennai,Tamil Nadu
KUPPAIYAR STREET,KONDITHOPE,,NULL,,Chennai,Tamil Nadu
PEDDU STREET,KONDITHOPE,,NULL,,Chennai,Tamil Nadu
KANCHIPURAM SABATHY STREET,KONDITHOPPE,,NULL,,Chennai,Tamil Nadu
PERUMAL STREET,KONDITHOPE,,NULL,,Chennai,Tamil Nadu
VENKATRAMAN STREET,,,NULL,,Chennai,Tamil Nadu
22-28 PRAKASAM SALAI,BROADWAY,,NULL,,Chennai,Tamil Nadu
THAMBU CHETTY STREET,MANNADY,,NULL,,Chennai,Tamil Nadu
SAHIB HAZARATH STREET,MASKAN CHAVADI,,NULL,,Chennai,Tamil Nadu
VENKATAMAISTRY STREET,MANNADY,,NULL,,Chennai,Tamil Nadu
JONES STREET,MANNADY,,NULL,,Chennai,Tamil Nadu
P.V. IYER STREET,BROADWAY,,NULL,,Chennai,Tamil Nadu
PORTUGUESE CHURCH STREET,SEVENWELLS,,NULL,,Chennai,Tamil Nadu
P.V. IYER STREET,BROADWAY,,NULL,,Chennai,Tamil Nadu
PERUMAL KOIL STREET,KONDITHOPE,,NULL,,Chennai,Tamil Nadu
SAHIB HAZARATH STREET,MASKAN CHAVADI,,NULL,,Chennai,Tamil Nadu
MANGAMMAL LANE,SEVEN WELLS,,NULL,,Chennai,Tamil Nadu
Vaidaynathan Mudali Street,"Apollo Hospital , Mint Street",,NULL,,Chennai,Tamil Nadu
Near  Chera bazar,2nd Fanasa Wadi,Near Vinayaka Circle,NULL,,Mumbai,Maharashtra
Near Kabutar Khana Circle,Charni Road,Near Vinayaka Circle,NULL,,Mumbai,Maharashtra
,Dhobi Talao,Near Vinayaka Circle,Manunatha Nagar,,Mumbai,Maharashtra
,KALBADEVI,Near Vinayaka Circle,Manunatha Nagar,,Mumbai,Maharashtra
,"Ganesh Murti Nagar,Colaba",Near Vinayaka Circle,Manunatha Nagar,,Mumbai,Maharashtra
,THAKURDWAR,Near Vinayaka Circle,Manunatha Nagar,,Mumbai,Maharashtra
NEAR PANDEY KIRANA STORE.,KANDIVALI EAST.,Near Vinayaka Circle,Manunatha Nagar,,Mumbai,Maharashtra
,CHIRA BAZAR.,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
Near Ranade Hgih School,"14 - Zaobawadi, Thakurdwar, Girgaon",Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
DADI SETH AGYARI LANE.,"CHIRABAZAR, FANASWADI",Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
,CHIRABAZAR,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
,THAKURDWAR,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
,NULL,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
"Thakurdwar Road,",Girgaon,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
Chirabazar,Chandanwadi,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
,PHYDHUNI,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
,CHIRABAZAR,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
OPP.NAVAKAL PRESS,GIRGAON,Opposite to PVR mall,Manunatha Nagar,,Mumbai,Maharashtra
"NEAR ZAOBA RAM MANDIR,",CHARNI ROAD,Near railway track,NULL,,Mumbai,Maharashtra
,,Near railway track,NULL,,Mumbai,Maharashtra
"OPP.2ND FANASWADI,",CHIRABAZAR,Near railway track,NULL,,Mumbai,Maharashtra
,kalbadevi,Near railway track,NULL,,Mumbai,Maharashtra
,CHIRA BAZAR.,Near railway track,NULL,,Mumbai,Maharashtra
Near B.M.C. School,Thakurdwar,Near railway track,NULL,,Mumbai,Maharashtra
Near B.M.C. School,Thakurdwar,Near railway track,NULL,,Mumbai,Maharashtra
"OPP VITHAL WADI,","MARINES LINE,",Near railway track,NULL,,Mumbai,Maharashtra
,BHULESHWAR,Near railway track,NULL,,Mumbai,Maharashtra
Next To Marine Lines Station,Marine Drive,Near railway track,NULL,,Mumbai,Maharashtra
CHIRA BAZAR,CHIRA BAZAR,Near railway track,NULL,,Mumbai,Maharashtra
Near Barreto School,chirabazar,Near railway track,NULL,,Mumbai,Maharashtra
electric crematorium,chandanwadi,Near railway track,NULL,,Mumbai,Maharashtra
Adarsh Hotel Lane,Kalbadevi,Near railway track,NULL,,Mumbai,Maharashtra
"chandanwadi, gavliwadi",chandanwadi,Near railway track,NULL,,Mumbai,Maharashtra
opp. tadwadi,CHIRA BAZAR,Near unique concord,NULL,,Mumbai,Maharashtra
NEAR RAJESH FARSAN HOUSE,,Near unique concord,NULL,,Mumbai,Maharashtra
bada kabrastan,chirabazar,Near unique concord,NULL,,Mumbai,Maharashtra
bada kabrastan,chirabazar,Near unique concord,NULL,,Mumbai,Maharashtra
near khadi bhandar,kalbhadevi,Near unique concord,NULL,,Mumbai,Maharashtra
M J MARG,Kalbadevi,Near unique concord,NULL,,Mumbai,Maharashtra
NEAR METRO CINEMA,DHOBITALAO,Near unique concord,45 Palaca road,,Mumbai,Maharashtra
OPP.HANUMAN MANDIR,THAKURDWAR,Near unique concord,46 Palaca road,MUMBAI,Mumbai,Maharashtra
near madhav baug post office,c.p. tank,Near unique concord,47 Palaca road,,Mumbai,Maharashtra
Near Ideal Chivda,Thakurdwar,Near unique concord,48 Palaca road,,Mumbai,Maharashtra
NEAR MARWADI SCHOOL,CHIRABAZAR,Near mrf tyre,49 Palaca road,,Mumbai,Maharashtra
,"77,CHANDANWADI",Near mrf tyre,50 Palaca road,,Mumbai,Maharashtra
SWADESHI MARKET,KALBADEVI,Near mrf tyre,51 Palaca road,,Mumbai,Maharashtra
OPP MUGBHAT,GIRGAON,Near mrf tyre,52 Palaca road,MUMBAI,Mumbai,Maharashtra
,CHIRABAZAR,Near mrf tyre,53 Palaca road,MUMBAI,Mumbai,Maharashtra
NEAR DADI SETH AGYARI LANE,BHULESHWAR,Near mrf tyre,54 Palaca road,MUMBAI,Mumbai,Maharashtra
,KALABADEVI,Near mrf tyre,55 Palaca road,MUMBAI,Mumbai,Maharashtra
,BHULESHWAR,Near mrf tyre,56 Palaca road,,Mumbai,Maharashtra
Opp. B.M.C. 'C' Ward,Chandanwadi,Near mrf tyre,57 Palaca road,,Mumbai,Maharashtra
OPP SWAMINARAYAN TEMPLE,BHULESHWAR,Near mrf tyre,58 Palaca road,,Mumbai,Maharashtra
ON TOP OF LA CHANDELIER,MARINE LINES,Near mrf tyre,NULL,MUMBAI,Mumbai,Maharashtra
OPP.HANUMAN MANDIR,THAKURDWAR,Near mrf tyre,NULL,,Mumbai,Maharashtra
Bhuleshwar,Chira Bazar,Near mrf tyre,NULL,,Mumbai,Maharashtra
Near B.M.C. School,Thakurdwar,Near mrf tyre,NULL,mumbai,Mumbai,Maharashtra
Near Barreto School,chirabazar,Near mrf tyre,NULL,,Mumbai,Maharashtra
bada kabrastan,chirabazar,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
,MAZGAON,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
,Chira Bazar,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
"OPP,B.I.T BLOCK NO.1",CHANDANWADI,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
near ram temple,thakurdwar,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
OPP. B.M.C. OFFICE,KALBHADEVI,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
bada kabrastan,chirabazar,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
near sai baba mandir,chandanwadi ropa lane,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
Opp. Balaji Mandir,Thakurdwar,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
NEAR H N HOSPITAL,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
NEAR BARRETO HIGH SCHOOL,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
opp-thakurdwar post office,,Oppsite to sweet shop,NULL,Mumbai,Mumbai City,Maharashtra
,,Oppsite to sweet shop,NULL,Mumbai,Mumbai City,Maharashtra
,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
Dadi Seth Agiary Lane,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
Princess Street,,Oppsite to sweet shop,NULL,Kalbadevi,Mumbai,Maharashtra
,,Oppsite to sweet shop,NULL,Kalbadevi,Mumbai,Maharashtra
,,Oppsite to sweet shop,NULL,Mumbai,Mumbai City,Maharashtra
,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
Charni Road Station,,Oppsite to sweet shop,NULL,,Mumbai,Maharashtra
Mahalaxmi Mandir compound,,Neat vysa school,NULL,,Mumbai,Maharashtra
Mahalaxmi Mandir compound,,Neat vysa school,NULL,,Mumbai,Maharashtra
Near Metro Cinema,,Neat vysa school,NULL,,Mumbai,Maharashtra
,,Neat vysa school,NULL,,Mumbai,Maharashtra
near kalaram mandir,,Neat vysa school,NULL,,Mumbai,Maharashtra
Zaveri Bazar,,Neat vysa school,NULL,,Mumbai,Maharashtra
Near Hindi Vidya Bhavan School,,Neat vysa school,NULL,,Mumbai,Maharashtra
C- ward,,Neat vysa school,NULL,,Mumbai,Maharashtra
,,Neat vysa school,NULL,,Mumbai,Maharashtra
,,Neat vysa school,NULL,,Mumbai,Maharashtra
Kabutar khana,,Neat vysa school,NULL,,Mumbai,Maharashtra
Kabutar khana,,Neat vysa school,NULL,,Mumbai,Maharashtra
Kalbadevi Road,,Neat vysa school,NULL,,Mumbai,Maharashtra
kothari hospital,,Neat vysa school,NULL,,Mumbai,Maharashtra
Behind Police Chowki,,Neat vysa school,NULL,,Mumbai,Maharashtra
,,Neat vysa school,NULL,,Mumbai,Maharashtra
Sion Koliwada,,Neat vysa school,NULL,,Mumbai,Maharashtra
Dhobhitlao,,Neat vysa school,NULL,,Mumbai,Maharashtra
NEAR HANUMAN MANDIR,,Neat vysa school,NULL,,Mumbai,Maharashtra
Near Shankar Temple,,Neat vysa school,NULL,,Mumbai,Maharashtra
